dataset,pr_auc_engineered_mean,pr_auc_pca99_mean,delta_pr_auc_pca99_minus_engineered,roc_auc_engineered_mean,roc_auc_pca99_mean,delta_roc_auc_pca99_minus_engineered,seeds_engineered,seeds_pca99
arrhythmia,0.42107678312567565,0.3844059442341064,-0.036670838891569246,0.7892055267702937,0.780067514523473,-0.009138012246820648,5,5
mnist,0.27710611161869425,0.3293304187110162,0.05222430709232195,0.8075688003145631,0.8174842201113389,0.009915419796775793,5,5
musk,0.9994500403805953,0.2282642272786093,-0.771185813101986,0.9999819196467378,0.9036630100311192,-0.09631890961561862,5,5
speech,0.02322475188582038,0.0192379925894399,-0.003986759296380482,0.4744122102882985,0.5033533069530809,0.028941096664782395,5,5
mean_over_subset,0.43021442175269636,0.24030964570329294,-0.18990477604940342,0.7677921142549733,0.7511420129047529,-0.01665010135022027,5,5
