run_name,dataset,algorithm,variant,seed,pr_auc,roc_auc,mcc,f1,distance_concentration_ratio,n_features,pca_variance,recall_type_g,recall_type_l
phase4__musk__OCSVM__seed-3__task-001460__cfg-a989b348,musk,OCSVM,pca-0.01,3,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.01,,
phase4__musk__DBSCAN__seed-2__task-001459__cfg-cfc81bef,musk,DBSCAN,dimensionality-raw-preprocess,2,0.1158461286029971,0.6186610107612872,0.07304999049065768,0.10256410256410256,9.264542201500916,166.0,,,
phase4__musk__LOF__seed-2__task-001458__cfg-c85f9ec7,musk,LOF,dimensionality-raw-preprocess,2,0.13274429462222187,0.6188904921680778,0.18958261243374433,0.2153846153846154,9.264542201500916,166.0,,,
phase4__musk__OCSVM__seed-2__task-001457__cfg-9e559dd9,musk,OCSVM,pca-0.99,2,0.2777968867324595,0.9169033918047322,0.15780098826744798,0.18461538461538463,9.461447388861314,22.0,0.99,,
phase4__musk__OCSVM__seed-2__task-001456__cfg-11bbefec,musk,OCSVM,pca-0.90,2,0.28713025007414483,0.9202308722031953,0.15780098826744798,0.18461538461538463,10.88768454727035,5.0,0.9,,
phase4__musk__OCSVM__seed-2__task-001455__cfg-e2dfd349,musk,OCSVM,pca-0.75,2,0.1844200580660636,0.3421220076146103,0.15780098826744798,0.18461538461538463,13.387551992525717,3.0,0.75,,
phase4__musk__OCSVM__seed-2__task-001454__cfg-09ead541,musk,OCSVM,pca-0.50,2,0.150100950738464,0.3127553415274421,0.1260193641011516,0.15384615384615385,16.710023251454462,2.0,0.5,,
phase4__musk__OCSVM__seed-2__task-001453__cfg-a4f15c23,musk,OCSVM,pca-0.25,2,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.25,,
phase4__musk__OCSVM__seed-2__task-001452__cfg-8de08ba7,musk,OCSVM,pca-0.10,2,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.1,,
phase4__musk__OCSVM__seed-2__task-001451__cfg-6735898e,musk,OCSVM,pca-0.05,2,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.05,,
phase4__musk__OCSVM__seed-2__task-001450__cfg-65c0ad9c,musk,OCSVM,pca-0.01,2,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.01,,
phase4__musk__DBSCAN__seed-1__task-001449__cfg-047d4763,musk,DBSCAN,dimensionality-raw-preprocess,1,0.1158461286029971,0.6186610107612872,0.07304999049065768,0.10256410256410256,9.264542201500916,166.0,,,
phase4__musk__LOF__seed-1__task-001448__cfg-6772d737,musk,LOF,dimensionality-raw-preprocess,1,0.13274429462222187,0.6188904921680778,0.18958261243374433,0.2153846153846154,9.264542201500916,166.0,,,
phase4__musk__OCSVM__seed-1__task-001447__cfg-71c9197d,musk,OCSVM,pca-0.99,1,0.2777968867324595,0.9169033918047322,0.15780098826744798,0.18461538461538463,9.461447388861314,22.0,0.99,,
phase4__musk__OCSVM__seed-1__task-001446__cfg-d323c17c,musk,OCSVM,pca-0.90,1,0.28713025007414483,0.9202308722031953,0.15780098826744798,0.18461538461538463,10.88768454727035,5.0,0.9,,
phase4__musk__OCSVM__seed-1__task-001445__cfg-d98fc65d,musk,OCSVM,pca-0.75,1,0.1844200580660636,0.3421220076146103,0.15780098826744798,0.18461538461538463,13.387551992525717,3.0,0.75,,
phase4__musk__OCSVM__seed-1__task-001444__cfg-539ad927,musk,OCSVM,pca-0.50,1,0.150100950738464,0.3127553415274421,0.1260193641011516,0.15384615384615385,16.710023251454462,2.0,0.5,,
phase4__musk__OCSVM__seed-1__task-001443__cfg-92cdee81,musk,OCSVM,pca-0.25,1,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.25,,
phase4__musk__OCSVM__seed-1__task-001442__cfg-827a136b,musk,OCSVM,pca-0.10,1,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.1,,
phase4__musk__OCSVM__seed-1__task-001441__cfg-dd54b329,musk,OCSVM,pca-0.05,1,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.05,,
phase4__musk__OCSVM__seed-1__task-001440__cfg-41805d08,musk,OCSVM,pca-0.01,1,0.16728199810675787,0.32291510926444256,0.15780098826744798,0.18461538461538463,38.33960115223,1.0,0.01,,
phase4__musk__DBSCAN__seed-0__task-001439__cfg-2230090c,musk,DBSCAN,dimensionality-raw-preprocess,0,0.1158461286029971,0.6186610107612872,0.07304999049065768,0.10256410256410256,9.264542201500916,166.0,,,
phase4__musk__LOF__seed-0__task-001438__cfg-0f4dcd74,musk,LOF,dimensionality-raw-preprocess,0,0.13274429462222187,0.6188904921680778,0.18958261243374433,0.2153846153846154,9.264542201500916,166.0,,,
phase4__musk__OCSVM__seed-0__task-001437__cfg-4f1b7544,musk,OCSVM,pca-0.99,0,0.2777968867324595,0.9169033918047322,0.15780098826744798,0.18461538461538463,9.461447388861314,22.0,0.99,,
