algorithm,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std,f1_mean,f1_std
DBSCAN,0.8935620482361968,0.12255281416986716,0.3207543943986642,0.27614836723383135,0.3207543943986642,0.27614836723383135,0.6770457147943522,0.16496685103816844,0.3174281155531874,0.2777871076808212,0.25296003688348384,0.29199739726461194,0.3207543943986642,0.27614836723383135
ECOD,0.9044336541572163,0.10604031597425459,0.3897464329825308,0.2736824180734449,0.3897464329825308,0.2736824180734449,0.775602515545703,0.20741107780927592,0.3962112276187941,0.2913470615667652,0.32917164115720376,0.2871917996242109,0.3897464329825308,0.2736824180734449
HBOS,0.9032469998793163,0.11182081761336952,0.35988305759787975,0.31022376918104344,0.35988305759787975,0.31022376918104344,0.7615301505833392,0.20861529004228738,0.36680903075787846,0.3279906856576386,0.2985193660648468,0.32432293154998043,0.35988305759787975,0.31022376918104344
IForest,0.9153352598357614,0.0890013577139059,0.4393001578802244,0.33618218191415755,0.4393001578802244,0.33618218191415755,0.8175248479870644,0.178271610330955,0.4573531732229312,0.3604816604058237,0.3863484132160578,0.34682807885936173,0.4393001578802244,0.33618218191415755
LOF,0.876309457973541,0.14219034598840058,0.2124076616699375,0.20406853610370973,0.2124076616699375,0.20406853610370973,0.6684984505904742,0.18339518882542313,0.22817976152857566,0.21828929449344328,0.13311228312168308,0.21708162945137954,0.2124076616699375,0.20406853610370973
OCSVM,0.8903152262336892,0.12051282035494684,0.3391607333153616,0.22705945820986737,0.3391607333153616,0.22705945820986737,0.7336382757808345,0.1920941978690903,0.3542249699926335,0.22715533281415948,0.26821628982155116,0.2351552884118498,0.3391607333153616,0.22705945820986737
