algorithm,accuracy_estimated_mean,precision_estimated_mean,recall_estimated_mean,mcc_estimated_mean,f1_estimated_mean,roc_auc_estimated_mean,pr_auc_estimated_mean
DBSCAN,0.8731854231430989,0.4048559449545363,0.20531529277439792,0.16702843773932396,0.16310566220294392,0.6770457147943522,0.3174281155531874
ECOD,0.8793075980917379,0.39197835247909824,0.24902765660848722,0.2029718632015505,0.2001227477095386,0.775602515545703,0.3962112276187941
HBOS,0.8792740845979745,0.3358254369094045,0.2352391201441021,0.1887201557143277,0.1945958049256366,0.7615301505833392,0.3668090307578784
IForest,0.8816653184073757,0.4721862588346986,0.2698274436228632,0.249371710119745,0.23944732784545442,0.8175248479870644,0.4573531732229312
LOF,0.8749473578946438,0.23633126688348888,0.2076765021468461,0.1184915616580694,0.129452942344139,0.6684984505904742,0.2281797615285756
OCSVM,0.8743897204818643,0.39602434494453564,0.20720624050920342,0.1701753988876532,0.1671951132900124,0.7336382757808345,0.3542249699926335
