algorithm,delta_accuracy,delta_precision,delta_recall,delta_mcc,delta_f1
DBSCAN,-0.02037662509309795,0.08410155055587211,-0.11543910162426634,-0.08593159914415985,-0.15764873219572031
ECOD,-0.025126056065478627,0.002231919496567438,-0.14071877637404362,-0.12619977795565324,-0.18962368527299228
HBOS,-0.023972915281341933,-0.024057620688475227,-0.12464393745377768,-0.10979921035051916,-0.16528725267224317
IForest,-0.0336699414283856,0.032886100954474216,-0.16947271425736127,-0.13697670309631282,-0.19985283003477
LOF,-0.0013621000788971755,0.02392360521355142,-0.004731159523091495,-0.014620721463613654,-0.08295471932579856
OCSVM,-0.015925505751824953,0.056863611629174034,-0.13195449280615826,-0.0980408909338979,-0.17196562002534924
